PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
85,1,3,Passenger_85,female,24,0,2,T85,95.80834028297848,nan,nan
86,0,3,Passenger_86,female,3,0,3,T86,113.20511982245145,F,S
87,0,2,Passenger_87,female,46,2,3,T87,107.85048131786738,T,S
88,1,3,Passenger_88,male,8,4,3,T88,191.9445774965454,T,S
89,0,3,Passenger_89,male,67,0,2,T89,135.5263178005345,C,S
90,1,3,Passenger_90,male,35,1,3,T90,52.24060151540671,F,Q
91,0,2,Passenger_91,female,18,3,1,T91,90.42313498454044,D,S
92,0,2,Passenger_92,male,7,0,0,T92,126.90097014856507,D,S
93,0,1,Passenger_93,female,37,3,1,T93,36.53830358328026,T,S
94,1,2,Passenger_94,female,61,3,2,T94,159.93160834613553,C,C
95,0,3,Passenger_95,female,46,4,1,T95,124.71397824213847,E,S
96,0,3,Passenger_96,female,28,0,0,T96,139.4031279202283,D,S
97,1,1,Passenger_97,male,62,1,2,T97,158.61241494034513,E,S
98,1,3,Passenger_98,male,69,2,0,T98,173.08506995276625,C,C
99,1,3,Passenger_99,male,73,2,1,T99,177.63937493515283,E,S
100,0,2,Passenger_100,male,73,0,2,T100,11.698954462381458,T,S
101,1,3,Passenger_101,female,39,4,3,T101,169.483380988706,G,nan
102,0,3,Passenger_102,female,39,2,1,T102,131.539925998029,nan,C
103,0,3,Passenger_103,female,51,0,2,T103,126.12456127472086,D,C
104,0,2,Passenger_104,female,39,2,0,T104,56.76921937161331,G,C
105,1,3,Passenger_105,male,21,4,3,T105,195.77557194664286,C,C
106,1,3,Passenger_106,male,52,0,0,T106,94.12687654311452,G,C
107,0,3,Passenger_107,female,76,2,0,T107,112.88966195997861,T,S
108,0,1,Passenger_108,female,2,3,0,T108,32.06383222103036,nan,S
109,1,3,Passenger_109,male,74,1,2,T109,172.14671689592936,D,C
110,1,3,Passenger_110,female,53,3,0,T110,89.1228626098832,D,C
111,0,1,Passenger_111,female,27,4,3,T111,22.931460771055196,nan,S
112,1,3,Passenger_112,female,2,2,0,T112,167.60771544066606,C,S
113,1,3,Passenger_113,male,48,4,3,T113,95.86592694852074,E,nan
114,0,3,Passenger_114,female,60,3,1,T114,114.34657116565681,E,S
115,1,3,Passenger_115,female,27,2,3,T115,195.15064019153058,D,Q
116,0,2,Passenger_116,female,8,3,0,T116,122.43763083621499,A,S
117,1,2,Passenger_117,female,16,1,2,T117,87.96587374332502,G,Q
118,1,3,Passenger_118,female,56,2,0,T118,134.37575983158237,D,nan
119,0,2,Passenger_119,male,67,0,1,T119,173.05310100809183,F,C
120,1,3,Passenger_120,female,11,4,1,T120,166.3275035255022,nan,Q
121,1,2,Passenger_121,female,63,0,1,T121,18.425584348841653,C,S
122,0,3,Passenger_122,female,62,3,0,T122,107.56528587269258,F,Q
123,0,3,Passenger_123,female,13,2,1,T123,92.53618155040684,nan,S
124,1,3,Passenger_124,male,75,0,3,T124,186.14878674403082,B,S
125,0,3,Passenger_125,female,48,0,2,T125,53.43541213955171,G,S
126,1,2,Passenger_126,female,35,0,0,T126,76.24580748260728,C,S
127,0,3,Passenger_127,male,8,4,3,T127,136.90013547087676,E,S
128,0,2,Passenger_128,male,43,1,3,T128,29.979360585947756,nan,Q
129,0,3,Passenger_129,male,78,4,0,T129,135.6891641333809,B,Q
130,0,1,Passenger_130,male,78,0,3,T130,83.6749229931935,A,S
131,0,3,Passenger_131,female,61,0,1,T131,187.53436012399214,T,nan
132,1,3,Passenger_132,female,26,0,2,T132,51.0594245546269,C,S
133,1,3,Passenger_133,male,61,1,3,T133,84.02291134725706,B,S
134,1,1,Passenger_134,female,71,0,1,T134,21.160127705277713,B,S
135,1,1,Passenger_135,female,16,4,1,T135,122.41010339372515,E,S
136,0,2,Passenger_136,male,55,4,3,T136,92.23561314848592,E,Q
137,0,2,Passenger_137,female,24,4,3,T137,167.9810620295698,nan,S
138,0,3,Passenger_138,male,19,4,1,T138,165.18208591536447,G,S
139,0,2,Passenger_139,male,32,4,1,T139,85.21734012828881,A,C
140,0,3,Passenger_140,female,41,1,1,T140,21.526341543866515,D,nan
141,0,3,Passenger_141,female,28,4,3,T141,144.42559184968846,T,S
142,1,2,Passenger_142,male,21,0,3,T142,149.54053487767786,B,C
143,1,3,Passenger_143,male,39,2,3,T143,76.37351477388307,F,Q
144,0,3,Passenger_144,male,47,4,0,T144,48.50568952797742,A,C
145,0,1,Passenger_145,male,18,1,2,T145,48.94234173637898,D,C
146,1,3,Passenger_146,female,21,3,1,T146,53.416621784191435,T,S
147,0,2,Passenger_147,female,79,1,0,T147,120.37175526057706,E,S
148,0,3,Passenger_148,female,40,1,2,T148,15.547432722006652,B,S
149,1,1,Passenger_149,female,11,1,1,T149,110.2860763682441,C,S
150,1,2,Passenger_150,male,56,3,2,T150,71.43683946193963,G,C
151,0,2,Passenger_151,male,6,2,2,T151,188.56640617104333,T,C
152,0,3,Passenger_152,female,24,2,3,T152,24.29926157282677,D,S
153,0,3,Passenger_153,male,30,0,2,T153,148.8234597295789,T,C
154,1,3,Passenger_154,male,60,0,3,T154,105.58397819671839,nan,C
155,0,3,Passenger_155,female,62,4,3,T155,150.90593305411818,E,S
156,1,2,Passenger_156,female,13,3,1,T156,156.8748937084587,T,S
157,0,2,Passenger_157,male,13,1,1,T157,22.772537894756834,F,nan
158,1,3,Passenger_158,female,56,4,1,T158,95.91170512939937,C,S
159,1,2,Passenger_159,male,27,0,1,T159,182.2757056290063,B,C
160,0,2,Passenger_160,female,31,0,2,T160,149.05138573633334,F,C
161,0,3,Passenger_161,female,36,0,3,T161,181.93449354497994,B,S
162,0,3,Passenger_162,male,9,1,3,T162,25.706931528947415,G,Q
163,0,2,Passenger_163,male,38,4,0,T163,23.876852164130792,B,S
164,0,2,Passenger_164,female,43,4,0,T164,140.29088717458782,G,S
165,0,3,Passenger_165,male,10,0,2,T165,61.583011811531264,nan,C
166,1,2,Passenger_166,male,29,1,0,T166,67.87589385303582,G,S
167,0,3,Passenger_167,female,34,3,1,T167,162.83250952865814,C,S
168,0,3,Passenger_168,male,11,3,3,T168,79.0216098839278,E,C
169,1,2,Passenger_169,female,49,4,1,T169,89.47276927963907,E,C
170,0,3,Passenger_170,female,61,4,2,T170,38.042109559536925,T,S
171,1,2,Passenger_171,male,4,4,0,T171,103.6256230567406,D,nan
172,0,3,Passenger_172,male,20,2,3,T172,29.713673538049683,C,S
173,0,1,Passenger_173,female,12,4,2,T173,29.284254629570093,B,C
174,0,1,Passenger_174,female,6,2,1,T174,47.135740395962145,nan,Q
175,0,3,Passenger_175,male,54,1,1,T175,182.9612710899621,G,S
176,0,2,Passenger_176,female,66,4,1,T176,151.00651209049795,G,nan
177,1,1,Passenger_177,male,18,0,3,T177,113.05975592478481,B,S
178,1,2,Passenger_178,female,60,4,1,T178,46.270111021872836,G,nan
179,0,3,Passenger_179,male,54,2,1,T179,137.86507078255553,nan,C
180,1,1,Passenger_180,female,30,0,3,T180,23.064609153765353,E,S
181,0,1,Passenger_181,male,72,2,3,T181,194.09255445579734,E,S
182,1,1,Passenger_182,female,16,1,0,T182,141.03092415732453,D,S
183,1,3,Passenger_183,female,36,4,1,T183,29.062616764400218,F,C
184,1,2,Passenger_184,male,26,0,1,T184,112.72219704201619,T,S
185,1,2,Passenger_185,female,73,0,2,T185,177.62033438701326,D,C
186,0,3,Passenger_186,female,66,3,1,T186,139.97565418369308,E,S
187,0,3,Passenger_187,female,4,4,3,T187,13.215657250231834,F,S
188,1,1,Passenger_188,female,48,3,0,T188,46.8604246264031,B,S
189,0,3,Passenger_189,female,64,2,2,T189,146.78945798510128,E,nan
190,0,3,Passenger_190,male,64,1,3,T190,87.6631494106911,T,S
191,0,2,Passenger_191,male,62,1,0,T191,103.36432497037664,A,S
192,0,1,Passenger_192,female,72,1,1,T192,155.08859674980914,C,nan
193,1,2,Passenger_193,female,77,4,2,T193,188.5695104294815,D,C
194,0,2,Passenger_194,male,5,4,0,T194,128.63592913858093,A,C
195,0,1,Passenger_195,male,31,2,2,T195,40.93707440989038,T,nan
196,1,2,Passenger_196,female,64,3,3,T196,152.60562071372098,F,S
197,0,2,Passenger_197,male,42,4,0,T197,97.58193563966188,F,S
198,0,2,Passenger_198,male,19,1,0,T198,38.29378621745023,G,nan
199,1,3,Passenger_199,male,52,2,3,T199,41.86698071565109,B,S
200,1,3,Passenger_200,female,62,0,1,T200,19.32932679272175,G,C
201,0,2,Passenger_201,female,60,2,1,T201,71.95060798662917,A,C
202,1,2,Passenger_202,male,5,2,1,T202,108.75715301304453,D,Q
203,0,3,Passenger_203,female,76,2,0,T203,170.53639182263868,D,S
204,0,1,Passenger_204,male,38,3,0,T204,99.62576746722672,B,C
205,1,3,Passenger_205,female,49,0,3,T205,15.381604169193862,D,S
206,0,2,Passenger_206,female,13,1,1,T206,189.38431947874724,E,S
207,1,1,Passenger_207,male,31,2,0,T207,39.46882551463919,E,S
208,0,2,Passenger_208,male,45,4,2,T208,186.94209370465717,nan,Q
209,1,2,Passenger_209,female,23,0,2,T209,58.62964871937313,E,Q
210,0,2,Passenger_210,male,69,2,0,T210,85.40814713757318,B,S
211,0,3,Passenger_211,female,42,0,3,T211,156.62569176973133,C,S
212,0,3,Passenger_212,male,30,3,3,T212,192.5188391520988,B,S
213,1,3,Passenger_213,female,40,2,3,T213,79.66976746796149,F,S
214,0,3,Passenger_214,male,76,4,0,T214,63.15364991521695,F,C
215,0,1,Passenger_215,female,56,0,2,T215,37.67941604639144,C,S
216,1,2,Passenger_216,male,72,4,3,T216,134.8833073958122,A,S
217,0,3,Passenger_217,female,66,3,3,T217,155.59052610406297,F,S
218,1,3,Passenger_218,female,9,4,1,T218,189.59291502004314,E,S
219,0,3,Passenger_219,female,24,3,1,T219,128.34587931236052,A,S
220,1,3,Passenger_220,male,60,4,1,T220,140.6336722873206,C,S
221,1,2,Passenger_221,male,35,2,2,T221,29.110786368644327,T,S
222,0,3,Passenger_222,female,76,2,1,T222,198.0171293627231,B,Q
223,1,1,Passenger_223,male,30,0,0,T223,99.41746332920516,F,nan
224,0,3,Passenger_224,female,74,1,0,T224,28.851192322264534,G,nan
225,0,3,Passenger_225,male,51,3,3,T225,40.37934713323029,E,S
226,0,3,Passenger_226,male,6,3,1,T226,172.07365192235477,E,C
227,1,2,Passenger_227,male,62,2,3,T227,80.2095181636511,E,C
228,0,3,Passenger_228,male,2,2,1,T228,183.18353832931405,B,S
229,1,3,Passenger_229,female,30,0,1,T229,177.97167148086857,T,Q
230,0,2,Passenger_230,male,47,0,2,T230,47.95492700301178,E,S
231,1,3,Passenger_231,male,52,1,2,T231,132.38112418321336,A,Q
232,0,3,Passenger_232,male,31,4,0,T232,110.34650527982822,F,nan
233,0,1,Passenger_233,female,42,2,3,T233,146.88150297411846,nan,S
234,0,3,Passenger_234,female,35,4,3,T234,35.49794616990209,B,S
235,0,3,Passenger_235,female,40,4,1,T235,80.93211803910714,F,S
236,1,2,Passenger_236,female,1,4,3,T236,10.900140353605245,E,S
237,1,3,Passenger_237,male,34,2,0,T237,93.62469732504239,B,S
238,1,3,Passenger_238,male,79,4,2,T238,29.907654755497123,T,S
239,0,1,Passenger_239,male,45,4,3,T239,87.7704820170881,C,S
240,0,3,Passenger_240,male,56,1,0,T240,161.61206149028152,F,Q
241,0,3,Passenger_241,male,33,4,2,T241,100.26215995680055,A,S
242,1,3,Passenger_242,male,41,0,2,T242,185.95234849978397,T,S
243,0,3,Passenger_243,male,14,1,2,T243,126.44843414051353,T,nan
244,1,1,Passenger_244,male,41,3,3,T244,112.29665239104628,F,S
245,1,1,Passenger_245,male,79,0,0,T245,84.62665804674738,G,C
246,0,3,Passenger_246,female,76,1,1,T246,196.93642161922563,E,S
247,0,1,Passenger_247,female,2,2,2,T247,27.608423057659696,A,nan
248,1,3,Passenger_248,male,15,2,1,T248,147.72642326269258,C,S
249,1,2,Passenger_249,male,5,0,0,T249,89.45318347052773,T,Q
250,0,2,Passenger_250,female,36,4,1,T250,138.28621147305265,D,S
251,0,3,Passenger_251,male,37,4,0,T251,134.4326204082962,nan,nan
252,0,1,Passenger_252,female,47,3,1,T252,175.34159308114508,B,S
253,0,3,Passenger_253,female,11,2,0,T253,69.87651999313616,G,S
254,0,3,Passenger_254,female,28,0,2,T254,123.77122010345556,G,S
255,1,3,Passenger_255,female,52,4,1,T255,97.17497068544479,A,nan
256,0,1,Passenger_256,male,31,1,2,T256,184.04518815723188,E,nan
257,1,3,Passenger_257,female,65,1,0,T257,139.96381469707916,G,S
258,0,1,Passenger_258,female,28,2,1,T258,95.02357522950793,E,S
259,1,1,Passenger_259,male,32,4,2,T259,112.8912639337177,nan,S
260,0,1,Passenger_260,male,71,1,0,T260,84.49328428214795,E,C
261,1,2,Passenger_261,male,65,3,3,T261,193.20626424236684,nan,S
262,0,2,Passenger_262,female,59,0,3,T262,125.01132761618797,C,S
263,1,3,Passenger_263,male,78,2,0,T263,195.2048903308341,B,C
264,0,2,Passenger_264,female,41,1,2,T264,98.30271706725098,T,S
265,1,1,Passenger_265,male,46,0,0,T265,16.500980118649586,F,S
266,1,3,Passenger_266,female,22,3,1,T266,75.12361613200547,T,S
267,1,3,Passenger_267,male,4,4,3,T267,167.066895080082,T,S
268,0,3,Passenger_268,male,12,1,3,T268,69.70789666286778,C,C
269,0,2,Passenger_269,male,23,3,1,T269,178.10950473044193,nan,S
270,0,1,Passenger_270,female,45,4,0,T270,11.362687561808428,T,Q
271,1,3,Passenger_271,female,39,1,3,T271,131.1811358365445,F,nan
272,0,3,Passenger_272,female,22,1,3,T272,25.842276852226455,B,nan
273,1,1,Passenger_273,male,50,3,2,T273,188.9987069516063,E,S
274,0,3,Passenger_274,male,37,1,2,T274,195.89895814693793,B,S
275,0,1,Passenger_275,female,7,3,1,T275,170.84786605491087,B,S
276,1,3,Passenger_276,male,47,2,0,T276,164.51432996730242,A,S
277,0,2,Passenger_277,male,48,2,0,T277,199.14840012551934,F,S
278,0,3,Passenger_278,male,21,4,1,T278,120.92129873037115,T,S
279,0,2,Passenger_279,female,49,0,0,T279,67.46730375753708,D,Q
280,0,3,Passenger_280,female,74,0,2,T280,199.0754066027203,A,S
281,1,3,Passenger_281,male,62,2,1,T281,71.66541846986411,nan,nan
282,0,3,Passenger_282,female,4,3,0,T282,159.14288107560714,nan,Q
283,0,2,Passenger_283,male,63,1,0,T283,16.155710504721572,T,S
284,0,3,Passenger_284,male,57,2,1,T284,145.32644260071322,A,C
285,0,2,Passenger_285,male,6,2,1,T285,56.208469656737336,A,S
286,1,3,Passenger_286,female,28,0,2,T286,82.26355388999826,E,Q
287,0,3,Passenger_287,female,6,4,2,T287,26.4000728640207,F,S
288,0,3,Passenger_288,male,38,4,2,T288,165.79377331400568,A,C
289,1,3,Passenger_289,female,15,3,3,T289,125.63967852259194,C,Q
290,0,1,Passenger_290,male,50,0,1,T290,29.610837243547056,E,S
291,1,3,Passenger_291,female,23,0,2,T291,152.72538962123247,T,S
292,1,1,Passenger_292,male,76,1,3,T292,56.69163475843858,D,S
293,1,2,Passenger_293,female,73,2,0,T293,88.34740319383155,D,S
294,0,2,Passenger_294,male,9,4,3,T294,169.33064345977866,B,S
295,1,3,Passenger_295,male,58,2,3,T295,51.14033293474207,G,S
296,1,2,Passenger_296,male,7,0,3,T296,157.0068580702613,G,S
297,1,3,Passenger_297,female,39,1,0,T297,139.4244052121078,F,nan
298,0,3,Passenger_298,female,3,4,2,T298,134.66557684715866,T,Q
299,1,3,Passenger_299,female,59,2,2,T299,45.41946529248347,B,S
300,0,1,Passenger_300,male,52,0,0,T300,102.74820867740704,nan,nan
301,0,3,Passenger_301,female,20,3,3,T301,166.3499520418075,D,S
302,1,3,Passenger_302,female,28,1,3,T302,60.92578069489048,F,S
303,0,1,Passenger_303,female,31,0,2,T303,24.50808571961597,T,C
304,0,3,Passenger_304,female,38,1,3,T304,169.90507968586545,nan,S
305,1,2,Passenger_305,male,58,0,1,T305,93.1091857371295,G,S
306,0,3,Passenger_306,female,60,2,2,T306,86.01468862911192,A,C
307,0,1,Passenger_307,male,74,4,1,T307,177.25553389032606,nan,S
308,1,3,Passenger_308,female,51,2,2,T308,97.41009144644507,F,S
309,0,2,Passenger_309,male,4,1,1,T309,104.63157457498423,B,S
310,1,3,Passenger_310,female,53,0,1,T310,159.66553062247095,C,Q
311,1,1,Passenger_311,male,68,1,3,T311,87.91392376117308,D,S
312,0,1,Passenger_312,female,14,0,0,T312,62.20808698665423,C,S
313,1,1,Passenger_313,male,39,4,1,T313,55.59810335951172,A,S
314,1,3,Passenger_314,female,71,3,0,T314,117.25754338507029,C,S
315,1,2,Passenger_315,male,35,1,1,T315,40.295231847343096,A,S
316,0,2,Passenger_316,female,23,3,2,T316,50.82309019857173,nan,S
317,0,3,Passenger_317,female,43,2,2,T317,17.120329439054505,F,nan
318,0,3,Passenger_318,male,43,2,1,T318,27.26627515586987,B,S
319,0,1,Passenger_319,male,8,4,1,T319,142.1885250510026,T,S
320,0,2,Passenger_320,female,76,3,1,T320,113.41098822803035,D,Q
321,0,3,Passenger_321,male,27,3,1,T321,157.46522752155957,G,S
322,0,1,Passenger_322,male,58,0,1,T322,136.40492199533585,C,nan
323,0,1,Passenger_323,male,56,1,2,T323,74.15961598476768,F,Q
324,1,2,Passenger_324,male,17,0,0,T324,34.5180617648885,A,C
325,1,1,Passenger_325,male,6,2,1,T325,194.96281639775722,C,nan
326,1,3,Passenger_326,female,46,4,1,T326,177.01815922643908,nan,S
327,0,3,Passenger_327,male,32,3,0,T327,184.83193352562404,A,S
328,0,3,Passenger_328,female,49,3,0,T328,181.88660114497165,E,S
329,0,2,Passenger_329,female,6,4,3,T329,166.47672494401306,D,Q
330,0,2,Passenger_330,male,31,4,1,T330,74.94710970596378,G,S
331,0,3,Passenger_331,male,37,4,1,T331,73.23802143016005,C,C
332,1,1,Passenger_332,female,45,0,0,T332,35.9215048776169,C,S
333,0,3,Passenger_333,female,48,0,3,T333,166.86975210279226,E,S
334,1,3,Passenger_334,female,52,2,2,T334,177.74330288763684,E,nan
335,0,3,Passenger_335,female,51,1,1,T335,102.21089596498499,B,S
336,1,2,Passenger_336,female,70,4,1,T336,68.8408751217969,T,S
337,1,2,Passenger_337,female,5,0,0,T337,107.54165768374708,T,C
338,1,1,Passenger_338,female,34,1,3,T338,96.80575760027519,B,nan
339,1,2,Passenger_339,male,64,0,2,T339,123.44319672669093,E,S
340,1,3,Passenger_340,male,65,3,0,T340,147.44985533258722,D,Q
341,0,3,Passenger_341,female,24,1,1,T341,111.50727979232029,B,S
342,1,2,Passenger_342,male,67,0,3,T342,116.8426740302112,F,Q
343,0,2,Passenger_343,male,55,4,3,T343,85.74120852550278,A,S
344,0,1,Passenger_344,female,12,0,1,T344,198.67682784761283,D,C
345,1,2,Passenger_345,male,20,0,0,T345,48.36695951914973,A,S
346,1,2,Passenger_346,male,58,2,2,T346,113.78585496370476,nan,S
347,1,1,Passenger_347,male,68,1,2,T347,67.54833882965669,C,S
348,0,2,Passenger_348,female,47,1,1,T348,73.31376556081831,T,C
349,1,2,Passenger_349,male,59,2,3,T349,32.008143907514125,D,S
350,1,1,Passenger_350,male,54,2,1,T350,31.346990959938537,B,S
351,1,2,Passenger_351,female,29,4,3,T351,92.79309838717022,B,C
352,1,2,Passenger_352,female,8,2,0,T352,75.30678569799562,C,S
353,1,3,Passenger_353,female,18,1,2,T353,22.74170487520201,D,S
354,1,3,Passenger_354,female,59,3,0,T354,125.75335597296915,F,C
355,0,1,Passenger_355,male,24,3,3,T355,103.95350441595569,nan,S
356,0,2,Passenger_356,female,21,4,1,T356,141.63661294735215,D,S
357,0,2,Passenger_357,female,50,1,2,T357,36.41676918270624,nan,S
358,0,2,Passenger_358,male,20,2,0,T358,69.37873191234208,E,S
359,1,3,Passenger_359,female,55,4,1,T359,80.91060289029627,E,C
360,0,2,Passenger_360,male,68,2,2,T360,23.407146892202285,D,nan
361,1,3,Passenger_361,male,28,1,3,T361,177.78100554296196,A,C
362,0,3,Passenger_362,male,23,3,2,T362,140.27362713037726,D,S
363,1,2,Passenger_363,male,7,1,1,T363,70.39009390895612,B,S
364,1,3,Passenger_364,female,58,1,2,T364,66.73507621120564,C,C
365,0,3,Passenger_365,female,71,3,3,T365,180.00794515558982,D,S
366,1,2,Passenger_366,female,36,0,2,T366,191.04970146334537,C,S
367,1,2,Passenger_367,female,53,2,1,T367,14.448639095083681,B,S
368,1,1,Passenger_368,male,54,0,3,T368,186.54655312619596,A,C
369,1,2,Passenger_369,male,24,1,1,T369,127.85639915938862,A,S
370,0,1,Passenger_370,female,28,2,2,T370,74.86033436525761,D,Q
371,0,3,Passenger_371,female,13,1,3,T371,43.83494385467317,T,S
372,1,1,Passenger_372,male,2,2,0,T372,182.71291581860467,G,S
373,0,1,Passenger_373,male,43,2,3,T373,177.83357348696146,C,S
374,0,1,Passenger_374,male,7,1,3,T374,164.2626807792681,E,S
375,1,1,Passenger_375,female,4,4,0,T375,114.35099640625872,B,S
376,0,3,Passenger_376,female,30,0,3,T376,78.11068878236924,E,C
377,1,2,Passenger_377,female,77,3,1,T377,166.80585898608362,B,S
378,0,3,Passenger_378,male,57,2,0,T378,14.73533498031797,G,S
379,0,2,Passenger_379,female,47,1,2,T379,119.06290717677273,E,Q
380,0,3,Passenger_380,female,64,2,1,T380,175.01740719597979,C,Q
381,0,2,Passenger_381,female,57,1,2,T381,10.752798910895024,nan,S
382,1,3,Passenger_382,female,56,3,3,T382,83.16938931440245,E,S
